# Pod nào bị restart / tạo lại sau fault
# phase=after  utc=20260730-180505
------------------------------------------------------------------------
POD                                              AGE                    RESTARTS   NODE                                             PHASE
accounting-7d84686dc6-hkb5w                      2026-07-30T06:46:12Z   7          ip-10-0-8-134.ap-southeast-1.compute.internal    Running
ad-748cc587b8-96m7k                              2026-07-30T06:49:30Z   0          ip-10-0-26-153.ap-southeast-1.compute.internal   Running
aiops-egress-proxy-78dc9f9c49-bj4s6              2026-07-30T15:59:07Z   0          ip-10-0-43-83.ap-southeast-1.compute.internal    Running
aiops-egress-proxy-78dc9f9c49-xrhgl              2026-07-30T15:58:54Z   0          ip-10-0-24-177.ap-southeast-1.compute.internal   Running
aiops-engine-5c97ccf9b8-fvhsr                    2026-07-30T17:16:58Z   2          ip-10-0-24-177.ap-southeast-1.compute.internal   Running
cart-7dc66cd5cd-njrk8                            2026-07-30T08:54:31Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
cart-7dc66cd5cd-qngbz                            2026-07-30T08:07:31Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
checkout-rollout-7db54d4f76-rq8jl                2026-07-30T09:39:46Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
checkout-rollout-7db54d4f76-xwqbf                2026-07-30T09:26:46Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
cloudflared-6f865d9d8b-72ws6                     2026-07-28T16:29:48Z   0          ip-10-0-8-134.ap-southeast-1.compute.internal    Running
cloudflared-6f865d9d8b-78n9h                     2026-07-28T16:29:50Z   0          ip-10-0-43-83.ap-southeast-1.compute.internal    Running
currency-b775db549-5n457                         2026-07-30T18:04:59Z   0          ip-10-0-45-138.ap-southeast-1.compute.internal   Running
currency-b775db549-cgvrm                         2026-07-30T08:03:19Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
currency-b775db549-j5xb7                         2026-07-30T18:04:59Z   0          ip-10-0-45-138.ap-southeast-1.compute.internal   Running
currency-b775db549-jvzqs                         2026-07-30T18:04:59Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
currency-b775db549-xw5r8                         2026-07-30T08:07:31Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
email-5c88c996b6-p5p2d                           2026-07-30T06:46:13Z   0          ip-10-0-8-134.ap-southeast-1.compute.internal    Running
email-5c88c996b6-r9ssn                           2026-07-30T06:46:13Z   0          ip-10-0-26-153.ap-southeast-1.compute.internal   Running
flagd-5d95fc8b65-r8kkk                           2026-07-29T05:51:36Z   0          ip-10-0-43-83.ap-southeast-1.compute.internal    Running
fraud-detection-74cb656444-zbfv9                 2026-07-28T18:33:04Z   0          ip-10-0-26-153.ap-southeast-1.compute.internal   Running
frontend-577476c78b-gwgmz                        2026-07-30T11:47:54Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
frontend-577476c78b-xvq2s                        2026-07-30T17:19:46Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
frontend-proxy-864dfc5bfc-5ks97                  2026-07-30T15:02:01Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
frontend-proxy-864dfc5bfc-8t4p6                  2026-07-30T17:20:24Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
grafana-575c7b5476-zlggq                         2026-07-28T09:51:40Z   1          ip-10-0-8-134.ap-southeast-1.compute.internal    Running
image-provider-6b8fc84fd6-ww5n6                  2026-07-28T16:31:09Z   0          ip-10-0-24-177.ap-southeast-1.compute.internal   Running
jaeger-5758598465-6r5qw                          2026-07-28T08:28:26Z   2          ip-10-0-24-177.ap-southeast-1.compute.internal   Running
llm-6967b66b87-8l7rz                             2026-07-28T18:03:50Z   0          ip-10-0-24-177.ap-southeast-1.compute.internal   Running
load-generator-7d8b897b9b-8m829                  2026-07-29T04:37:21Z   0          ip-10-0-24-177.ap-southeast-1.compute.internal   Running
locust-bench-766db58764-72bxc                    2026-07-30T10:35:20Z   0          ip-10-0-45-138.ap-southeast-1.compute.internal   Running
locust-bench-766db58764-dj96p                    2026-07-30T08:07:32Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
locust-bench-766db58764-xg5sc                    2026-07-30T06:20:25Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
opensearch-0                                     2026-07-30T07:59:08Z   0          ip-10-0-24-177.ap-southeast-1.compute.internal   Running
otel-gateway-7cdbf88cc6-2mzcm                    2026-07-30T08:54:30Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
otel-gateway-7cdbf88cc6-msp9j                    2026-07-30T08:07:31Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
otel-logs-retention-29753370-hjb89               2026-07-28T01:30:00Z   0          ip-10-0-26-153.ap-southeast-1.compute.internal   Succeeded
otel-logs-retention-29754810-8ss2w               2026-07-29T01:30:00Z   0          ip-10-0-24-177.ap-southeast-1.compute.internal   Succeeded
otel-logs-retention-29756250-s6z4v               2026-07-30T01:30:00Z   0          ip-10-0-8-134.ap-southeast-1.compute.internal    Succeeded
payment-84cc5889cd-44g6z                         2026-07-30T06:07:08Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
payment-84cc5889cd-4g67g                         2026-07-30T08:07:32Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
product-catalog-6477448ddc-fw4k7                 2026-07-30T10:35:21Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
product-catalog-6477448ddc-vc24h                 2026-07-30T09:38:57Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
product-reviews-7bb896dfb-m9lv8                  2026-07-30T07:13:20Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
product-reviews-7bb896dfb-vmxgn                  2026-07-30T10:35:21Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
product-reviews-egress-proxy-5d448f88cc-4hl4t    2026-07-29T14:57:27Z   0          ip-10-0-26-153.ap-southeast-1.compute.internal   Running
product-reviews-egress-proxy-5d448f88cc-znzkr    2026-07-29T14:57:27Z   0          ip-10-0-8-134.ap-southeast-1.compute.internal    Running
prometheus-5f66b859cf-jl2j8                      2026-07-30T13:20:13Z   0          ip-10-0-43-83.ap-southeast-1.compute.internal    Running
prometheus-6bf886fbf6-z7b26                      2026-07-17T10:04:16Z   0          ip-10-0-8-134.ap-southeast-1.compute.internal    Succeeded
quote-6d7c5685c5-g5qwq                           2026-07-30T08:07:32Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
quote-6d7c5685c5-kl45c                           2026-07-30T06:21:23Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
recommendation-759b7cd8c6-l298d                  2026-07-30T06:56:50Z   0          ip-10-0-26-153.ap-southeast-1.compute.internal   Running
shipping-5d588978dd-dnsjk                        2026-07-30T08:07:31Z   0          ip-10-0-5-127.ap-southeast-1.compute.internal    Running
shipping-5d588978dd-nqtpq                        2026-07-30T06:07:08Z   0          ip-10-0-34-80.ap-southeast-1.compute.internal    Running
shopping-copilot-65546fb68f-fltvf                2026-07-30T06:59:01Z   0          ip-10-0-43-83.ap-southeast-1.compute.internal    Running
shopping-copilot-65546fb68f-k6g7j                2026-07-30T06:58:47Z   0          ip-10-0-8-134.ap-southeast-1.compute.internal    Running
shopping-copilot-egress-proxy-5fcbc4bcd4-gc8nk   2026-07-30T02:38:37Z   0          ip-10-0-24-177.ap-southeast-1.compute.internal   Running
shopping-copilot-egress-proxy-5fcbc4bcd4-jvc8r   2026-07-30T02:38:37Z   0          ip-10-0-8-134.ap-southeast-1.compute.internal    Running

--- sự kiện gần nhất ---
LAST SEEN   TYPE      REASON                         OBJECT                                                MESSAGE
37m         Warning   PolicyViolation                replicaset/prometheus-6bf886fbf6                      policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
36m         Warning   PolicyViolation                replicaset/grafana-7687bf6f89                         policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/otel-gateway-69fb9b8977                    policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/accounting-848db8d945                      policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:8fc8a91f98ae40d6be284ff9009b32dd0e1e1c3152532362ed363f8bc71c4ed6: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/accounting-86f454f5d5                      policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:ddc93c804109526cdb40b117884084bc3fce004f3cf95bc040fa6034ea9fca4c: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/ad-67784c849b                              policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/ad-6b5b7c8db9                              policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:a45fdb96972c11c4b75261ef1205f96c92f5c23fb5edbc47f3b6bb95eb3f27bb: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/otel-gateway-85c5cbc9b5                    policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
36m         Warning   PolicyViolation                job/otel-logs-retention-29750490                      policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                pod/otel-logs-retention-29753370-hjb89                policy allow-approved-external-image-digests/require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
