NAME                                             CPU(cores)   MEMORY(bytes)   
accounting-7d84686dc6-hkb5w                      599m         266Mi           
ad-748cc587b8-96m7k                              5m           218Mi           
aiops-egress-proxy-74d6d844bc-ckhtz              2m           16Mi            
aiops-egress-proxy-74d6d844bc-rbsjm              3m           16Mi            
aiops-engine-5c877bddfc-bm5mq                    38m          207Mi           
cart-7dc66cd5cd-njrk8                            16m          62Mi            
cart-7dc66cd5cd-qngbz                            17m          70Mi            
checkout-rollout-7db54d4f76-rq8jl                18m          13Mi            
checkout-rollout-7db54d4f76-xwqbf                12m          16Mi            
cloudflared-6f865d9d8b-72ws6                     3m           21Mi            
cloudflared-6f865d9d8b-78n9h                     3m           31Mi            
currency-b775db549-cgvrm                         1m           3Mi             
currency-b775db549-xw5r8                         3m           6Mi             
email-5c88c996b6-p5p2d                           10m          54Mi            
email-5c88c996b6-r9ssn                           7m           56Mi            
flagd-5d95fc8b65-r8kkk                           12m          192Mi           
fraud-detection-74cb656444-zbfv9                 8m           256Mi           
frontend-577476c78b-g8mvp                        87m          92Mi            
frontend-577476c78b-gwgmz                        84m          93Mi            
frontend-proxy-6bbdb5bc7d-l5rnj                  39m          39Mi            
frontend-proxy-6bbdb5bc7d-ntf7z                  5m           20Mi            
grafana-575c7b5476-zlggq                         15m          423Mi           
image-provider-6b8fc84fd6-ww5n6                  1m           6Mi             
jaeger-5758598465-6r5qw                          25m          1006Mi          
llm-6967b66b87-8l7rz                             14m          67Mi            
load-generator-7d8b897b9b-8m829                  366m         272Mi           
locust-bench-766db58764-72bxc                    0m           0Mi             
locust-bench-766db58764-dj96p                    0m           0Mi             
locust-bench-766db58764-xg5sc                    0m           0Mi             
opensearch-0                                     49m          1010Mi          
otel-gateway-7cdbf88cc6-2mzcm                    13m          140Mi           
otel-gateway-7cdbf88cc6-msp9j                    51m          161Mi           
payment-84cc5889cd-44g6z                         3m           128Mi           
payment-84cc5889cd-4g67g                         12m          131Mi           
product-catalog-6477448ddc-fw4k7                 16m          12Mi            
product-catalog-6477448ddc-vc24h                 20m          12Mi            
product-reviews-7bb896dfb-m9lv8                  13m          122Mi           
product-reviews-7bb896dfb-vmxgn                  34m          109Mi           
product-reviews-egress-proxy-5d448f88cc-4hl4t    2m           15Mi            
product-reviews-egress-proxy-5d448f88cc-znzkr    2m           15Mi            
prometheus-5f66b859cf-lb2dt                      52m          545Mi           
quote-6d7c5685c5-g5qwq                           3m           20Mi            
quote-6d7c5685c5-kl45c                           3m           19Mi            
recommendation-759b7cd8c6-l298d                  42m          56Mi            
shipping-5d588978dd-dnsjk                        4m           10Mi            
shipping-5d588978dd-nqtpq                        1m           9Mi             
shopping-copilot-65546fb68f-fltvf                2m           115Mi           
shopping-copilot-65546fb68f-k6g7j                2m           134Mi           
shopping-copilot-egress-proxy-5fcbc4bcd4-gc8nk   3m           38Mi            
shopping-copilot-egress-proxy-5fcbc4bcd4-jvc8r   2m           15Mi            
