Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1790,0,71,99.3776837095105,57.265043999905174,1181.8308050005726,11405.0,4.2614165952487575,0.0,71,79,87,98,160,230,380,500,1100,1200,1200
GET,/api/cart,5552,0,66,108.3572879047181,55.712846999995236,1752.9989900003784,24.0,13.217533484257597,0.0,66,74,84,94,160,270,590,980,1700,1800,1800
POST,/api/cart,11195,1,72,99.27878011058776,58.67240400039009,1797.0008570000573,118.46761947297901,26.65170881777086,0.002380679662150144,72,78,86,93,130,200,320,580,1700,1800,1800
POST,/api/checkout,3677,0,260,338.6489120478605,82.10853499986115,2837.7892640000937,1682.3685069350013,8.753759117726078,0.0,260,360,440,500,690,870,1100,1200,2200,2800,2800
GET,/api/data/,5583,0,130,166.77331908256366,108.21776200009481,1670.2632440001253,157.77377753895755,13.291334553784253,0.0,130,140,160,170,240,340,540,710,1300,1700,1700
POST,/api/product-ask-ai-assistant/[id],1852,0,77,123.18333934502637,61.538419000498834,1779.2936360001477,262.7656587473002,4.409018734302066,0.0,78,91,110,130,220,330,510,700,1600,1800,1800
GET,/api/product-reviews/[id],3757,11,72,112.74121021641116,57.325800000398885,1454.5011339996563,1001.1820601543785,8.94421349069809,0.02618747628365158,72,87,110,130,210,320,460,570,1100,1500,1500
GET,/api/products/[id],29838,0,67,89.97570587472546,54.972827999336005,1230.7495160002873,612.1301025537905,71.03471975923598,0.0,67,73,81,90,130,200,310,470,1100,1200,1200
GET,/api/recommendations,5701,0,84,125.13270807156854,63.172691000545456,1215.5288579997432,2443.566391861077,13.572254753917969,0.0,84,100,130,150,240,320,440,560,1100,1200,1200
,Aggregated,68945,12,73,117.7315266011908,54.972827999336005,2837.7892640000937,948.3640002900863,164.13595930694166,0.028568155945801723,73,90,120,130,200,320,530,760,1500,1800,2800
