Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3615,0,75,104.33580529512452,57.586311999330064,4044.952017999094,11405.0,8.603553306838112,0.0,75,83,92,99,140,240,340,460,2400,4000,4000
GET,/api/cart,10821,1,69,112.66295725191883,54.69210099909105,4177.345902000525,24.006561315959708,25.753540894410843,0.0023799594209787307,69,75,80,86,140,260,580,1100,3300,4100,4200
POST,/api/cart,21346,2,79,108.38102767529456,59.371993000240764,2014.7393030001695,118.12864236859365,50.80261380021199,0.004759918841957461,79,86,93,99,150,250,410,700,1800,2000,2000
POST,/api/checkout,6929,6248,15000,14189.111618505265,59.83258199921693,15192.346083000302,180.69793621013133,16.490738827961625,14.86998646227511,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
GET,/api/data/,10800,1,130,165.6330184372104,107.51775999960955,4660.191490998841,159.40722222222223,25.70356174657029,0.0023799594209787307,130,140,150,160,220,300,410,520,3700,4600,4700
POST,/api/product-ask-ai-assistant/[id],3615,1,110,359.03953782904244,63.26358500155038,8480.368787999396,246.72005532503456,8.603553306838112,0.0023799594209787307,110,230,370,510,940,1400,2100,3000,6100,8500,8500
GET,/api/product-reviews/[id],7201,1306,100,241.11585688642836,57.64518900105031,5169.5832750010595,826.0966532426052,17.13808779046784,3.108227003798222,100,210,370,520,570,590,710,1000,4000,5200,5200
GET,/api/products/[id],57860,1007,69,107.70020319613987,55.05434599763248,5160.434859000816,602.7341168337366,137.70445209782935,2.396619136925582,69,75,81,88,140,240,560,690,3500,4500,5200
GET,/api/recommendations,10770,1,97,189.5718003974095,64.06695999976364,5144.801589000053,2317.1999071494893,25.632162963940928,0.0023799594209787307,97,140,200,260,460,560,650,950,3800,5100,5100
,Aggregated,132957,8567,78,867.3662723960873,54.69210099909105,15192.346083000302,854.8262370540851,316.4322647350691,20.389112359524784,78,97,130,150,400,5800,15000,15000,15000,15000,15000
