Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,864,0,69,79.45600535534022,57.58185399827198,496.6662799997721,11405.0,2.056923095671429,0.0,69,75,80,84,100,130,190,220,500,500,500
GET,/api/cart,2698,0,66,99.89006795218084,54.86063199714408,3386.4556230000744,24.0,6.42312327791842,0.0,66,70,75,79,97,140,470,1200,3200,3400,3400
POST,/api/cart,5549,0,72,87.65580925698697,59.37281200021971,2069.9374559990247,118.81366011894035,13.210493354028655,0.0,72,76,80,84,98,120,190,440,1900,2100,2100
POST,/api/checkout,1832,9,110,180.59720713806988,79.07925600011367,6415.727905001404,1672.4224890829694,4.361438786192196,0.02142628224657738,110,130,140,150,180,220,670,2400,6300,6400,6400
GET,/api/data/,2772,0,130,145.50831154870792,109.4247559994983,3567.449668997142,159.239898989899,6.599294931945834,0.0,130,140,140,150,170,200,250,300,3400,3600,3600
POST,/api/product-ask-ai-assistant/[id],918,0,81,247.73556367641555,64.97241800025222,8156.67820499948,258.22113289760347,2.185480789150893,0.0,81,95,120,150,330,620,2300,4900,8200,8200,8200
GET,/api/product-reviews/[id],1848,55,74,158.03841788363664,59.07913999908487,3419.840844002465,975.0411255411256,4.399529954630556,0.1309383915068618,74,84,100,130,280,570,1300,1300,3100,3400,3400
GET,/api/products/[id],14974,265,67,106.88705443642448,55.018230003042845,4414.403245002177,601.5295178309069,35.64857226224997,0.6308849772603341,67,71,75,79,96,140,1300,1300,3300,4400,4400
GET,/api/recommendations,2837,0,81,117.01515238137546,63.32426500011934,4383.0703040002845,2405.16672541417,6.75404030372667,0.0,81,88,96,100,140,210,560,640,3400,4400,4400
,Aggregated,34292,329,72,116.95828720284246,54.86063199714408,8156.67820499948,931.7900384929429,81.63889675551462,0.7832496510137732,72,81,95,110,140,180,580,1300,3400,7700,8200
